song: because of you | artist: dudley wilkinson, arthur hammerstein | error: Track not found
song: dansero | artist: richard hayman, lee daniels, sol parker | error: Track not found
song: wake the town and tell the people | artist: sammy gallop & jerry livingston | error: Track not found
song: just a girl that men forget | artist: al dubin, fred rath & joe warren | error: Track not found
song: toot, toot, tootsie | artist: ted fiorito, gus kahn, ernie erdman, dan russo | error: Track not found
song: hillside in scotland | artist: ruth roberts, bill katz, stanley clayton | error: Track not found
song: pennies from heaven | artist: arthur johnston, john burke | error: Track not found
song: caribbean (down in the) | artist: mitchell torok | error: Track not found
song: high noon | artist: dimitri tiomkin, ned washington | error: Track not found
song: the high and the mighty | artist: dimitri tiomkin, ned washington | error: Track not found
song: can i forget you, or will my heart remind me? | artist: jerome kern, oscar hammerstein ii | error: Track not found
song: i've told ev'ry little star | artist: jerome kern, oscar hammerstein ii | error: Track not found
song: make believe | artist: jerome kern, oscar hammerstein ii | error: Track not found
song: the folks who live on the hill | artist: jerome kern, oscar hammerstein ii | error: Track not found
song: the last time i saw paris | artist: jerome kern, oscar hammerstein ii | error: Track not found
song: why was i born | artist: jerome kern, oscar hammerstein ii | error: Track not found
song: a lovely way to spend an evening | artist: jimmy mchugh, harold adamson | error: Track not found
song: coming in on a wing and a prayer | artist: jimmy mchugh, harold adamson | error: Track not found
song: i couldn't sleep a wink last night | artist: jimmy mchugh, harold adamson | error: Track not found
song: it's a most unusual day | artist: jimmy mchugh, harold adamson | error: Track not found
song: where are you? | artist: jimmy mchugh, harold adamson | error: Track not found
song: you are my hearts delight | artist: franz lehar, harry graham | error: Track not found
song: it's no sin | artist: george hoven, chester r. shull | error: Track not found
song: where are you christmas? ( piano accompaniment) | artist: will jennings, james horner, mariah carey | error: Track not found
song: where are you christmas? (vocal) | artist: will jennings, james horner, mariah carey | error: Track not found
song: i don't wanna play house | artist: billy sherrill & glenn sutton | error: Track not found
song: our love | artist: l.clinton, b. bernier, b. emmerich | error: Track not found
song: il ballerino | artist: g. giacomo gastoldi | error: Track not found
song: you're my world | artist: umberto bindi, carl sigman | error: Track not found
song: hey, soul sister | artist: amund bjorklund , espen lind, patrick monohan | error: Track not found
song: you're gonna need someone by your side | artist: nevins, morrissey | error: Track not found
song: you raise me up | artist: rolf lvland, brendan graham | error: Track not found
song: detour ahead | artist: herb ellis, john frigo, lou carter | error: Track not found
song: so firm, so round, so fully packed | artist: merle travis, cliffie stone, eddie kirk | error: Track not found
song: my boy lollipop | artist: johnny roberts & morris levy | error: Track not found
song: and so to sleep again | artist: joe marsala, sunny skylar | error: Track not found
song: i'll walk beside you | artist: alan murray, edward lockton | error: Track not found
song: you will never grow old | artist: ruth rand | error: Track not found
song: everybody hurts continued | artist: rem | error: Track not found
song: ... baby one more time | artist: max martin | error: Track not found
song: turkey in the straw | artist: otto bonnell | error: Track not found
song: long, long and lonely nights | artist: lee andrews, bernice davis | error: Track not found
song: bobby's girl | artist: gary klein, hank hoffman | error: Track not found
song: music to watch girls by | artist: sid ramin, tony velona | error: Track not found
song: the song of songs | artist: moya, clarence lucas | error: Track not found
song: a beautiful friendship | artist: donald kahn, stanley styne | error: Track not found
song: all? maman bobo | artist: alain souchon, laurent voulzy | error: Track not found
song: satin sheets | artist: john e. volinkaty | error: Track not found
song: it's a wonderful world | artist: jan savitt, johnny watson, harold adamson | error: Track not found
song: summer wind | artist: henry mayer, johnny  mercer | error: Track not found
song: the white dove | artist: franz  lehar, clifford grey | error: Track not found
song: i'm getting sentimental over you | artist: george bassman, ned washington | error: Track not found
song: auf wiedersehen my dear | artist: al goodhart, al hoffman, ed nelson, milton ager | error: Track not found
song: chloe | artist: gus kahn & neil moret | error: Track not found
song: man of constant sorrow | artist: traditional american folk tune, traditional american | error: Track not found
song: do you know the way to san jose | artist: benny anderson, stig anderson  and  bjorn ulvaeus | error: Track not found
song: rejoice, the lord is king | artist: john darwall, charles wesley | error: Track not found
song: you don't know me | artist: eddy arnold, cindy walker | error: Track not found
song: diga, diga, doo | artist: jimmy mchugh, dorothy fields | error: Track not found
song: i can't give you anything but love, baby | artist: jimmy mchugh, dorothy fields | error: Track not found
song: i can't give you anything but love | artist: jimmy mchugh, dorothy fields | error: Track not found
song: on the sunny side of the street.m | artist: jimmy mchugh, dorothy fields | error: Track not found
song: at the balalaika | artist: george posford(adapted by herbert stothart, bob wright & chet forrest | error: Track not found
